"customer_order_id","customer_name","item_id","order_quantity","order_date","due_date","order_status"
1,"ABC Industries",1,5.00,"2026-08-01","2026-08-10","Pending"
2,"Delta Manufacturing",1,3.00,"2026-08-02","2026-08-12","Released"
3,"HydroTech Solutions",1,8.00,"2026-08-03","2026-08-15","Pending"
4,"Prime Engineering",1,2.00,"2026-08-05","2026-08-13","Completed"
5,"Apex Pumps Ltd.",1,6.00,"2026-08-06","2026-08-18","Pending"
6,"Global Water Systems",1,4.00,"2026-08-08","2026-08-17","Released"
7,"Vertex Engineering",1,7.00,"2026-08-09","2026-08-20","Pending"
8,"BlueRiver Industries",1,3.00,"2026-08-10","2026-08-19","Cancelled"
9,"Metro Process Equipments",1,9.00,"2026-08-11","2026-08-25","Pending"
10,"Nova Industrial Works",1,4.00,"2026-08-12","2026-08-22","Released"
